Jesús Ocaña Rojas;Jesús Ocaña Rojas;Jesús;Ocaña;-2;Male
Jesús Ocaña Rojas;Jesús Ocaña Rojas;Jesús;Ocaña;-2;Male
Radial Francisco J. Orlich;Radial Francisco J. Orlich;Radial;Francisco;-2;Male
Calle Obispo Tristán;Obispo Tristán;Obispo;Tristán;-2;Male
Arroyo;Arroyo;Arroyo;;0;Unknown
Arroyo;Arroyo;Arroyo;;0;Unknown
Tomás Guardia;Tomás Guardia;Tomás;Guardia;-2;Male
Arroyo;Arroyo;Arroyo;;0;Unknown
Solo Ambulancias;Solo Ambulancias;Solo;Ambulancias;-2;Male
Calle Las Américas;Las Américas;Las;Américas;0;Unknown
Calle El Pasito;El Pasito;El;Pasito;0;Unknown
Calle San Antonio;San Antonio;San;Antonio;-2;Male
Bulevar Aeropuerto;Bulevar Aeropuerto;Bulevar;Aeropuerto;0;Unknown
Salidas;Salidas;Salidas;;0;Unknown
Llegadas;Llegadas;Llegadas;;0;Unknown
Calle La Candela;La Candela;La;Candela;2;Female
Calle Lujuria;Lujuria;Lujuria;;0;Unknown
Calle Ladrillo;Ladrillo;Ladrillo;;0;Unknown
Calle El Flaco;El Flaco;El;Flaco;0;Unknown
Calle Zorro;Zorro;Zorro;;0;Unknown
Calle Conejos;Conejos;Conejos;;0;Unknown
Calle Loma Linda;Loma Linda;Loma;Linda;2;Female
Calle Afrecho;Afrecho;Afrecho;;0;Unknown
Calle El Futuro;El Futuro;El;Futuro;0;Unknown
Radial Santa Ana;Radial Santa Ana;Radial;Santa;2;Female
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male
Calle el Bajo;el Bajo;el;Bajo;0;Unknown
Avenida Central;Central;Central;;0;Unknown
Boulevard Los Adobes;Los Adobes;Los;Adobes;0;Unknown
Calle La Cañada;La Cañada;La;Cañada;0;Unknown
Radial Santa Ana;Radial Santa Ana;Radial;Santa;2;Female
Calle Chagüite;Chagüite;Chagüite;;0;Unknown
Calle La Flory;La Flory;La;Flory;0;Unknown
Calle La Paula;La Paula;La;Paula;2;Female
Calle Mezas;Mezas;Mezas;;0;Unknown
Avenida Central - Juan Manuel López del Corral;Central - Juan Manuel López Corral;Central;-;-2;Male
calle universidad;universidad;universidad;;0;Unknown
Vila De La Colina;Vila De La Colina;Vila;De;0;Unknown
Calle Las Américas;Las Américas;Las;Américas;0;Unknown
